ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE,CODE_PARENT,CODE_PARENT_DESC,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,IDENTIFIANTPLU,INTITULEPROTECTIONPLU,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,RAISONDEPLANTATION,REMARQUES,SOUS_CATEGORIE,SOUS_CATEGORIE_DESC,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,TYPEIMPLANTATIONPLU,VARIETE,VIGUEUR,coord_x,coord_y,Default,Collet,Houppier,Racine,Tronc,y_prediction
6,2004,2015,2017.0,ESP26080,380,All Deux Mondes aire de jeux,10,87,1,4,,,1,11,1,1,1,Arbre d'espaces ouverts,1,0,0,7,1,,2,0,1914334.07367,4221975.561290001,1,0,1,0,0,1
6,2004,2015,2016.0,ESP27905,725,Crique sud park,40,7,1,6,,,1,11,1,1,0,Arbre de voirie,1,1,0,7,0,,5,2,1914679.9626200001,4221640.21737,1,0,1,0,0,1
2,2004,2014,2014.0,ESP8874,541,Jard Hoche accés R de Narvick,20,7,1,6,,,1,11,1,0,1,Arbre d'espaces ouverts,1,2,0,4,0,,3,2,1914382.89306,4224030.22525,1,0,1,0,0,1
4,2004,2015,2018.0,ESP12370,354,Cite George Sand,60,1,0,1,,,1,11,1,0,1,Arbre d'espaces ouverts,1,1,0,0,0,,0,2,1914206.6146200001,4222781.5566,0,0,0,0,0,1
2,2004,2015,2016.0,ESP9325,52,Esplan ceinture Sud-Ouest,70,1,1,1,70.0,L 123-1.7,3,11,1,1,0,Arbre de voirie,1,2,0,7,1,Alignement,0,2,1913418.2494,4225312.56931,1,0,1,0,0,1
3,2004,2014,2014.0,ESP14474,21,R Vaujany Dagalier au terminus,10,20,1,7,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,1,,0,0,1912694.58965,4221471.54122,0,0,0,0,0,0
5,2004,2015,2018.0,ESP17403,564,R Manteyer n 37 à 41,10,34,1,27,,,1,6,1,0,2,Arbre d'enceintes fermées,1,1,0,0,0,,20,2,1915494.3007599998,4222776.9628,1,0,0,0,1,1
3,2004,2015,2018.0,ESP11166,86,Bd J Vallier voie tram impair,10,16,1,15,,,1,20,1,0,0,Arbre de voirie,0,0,0,7,0,,0,0,1913403.81308,4223608.31823,1,0,0,0,1,1
4,2004,2014,2014.0,ESP14307,232,Av Berthelot lycée Guynemer,10,8,1,7,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,0,,4,0,1914694.1295599998,4222668.64999,0,0,0,0,0,0
2,2004,2014,2014.0,ESP30621,274,R Bécaria,0,74,1,50,,,0,20,1,1,0,Arbre de voirie,1,1,0,9,1,,11,0,1914579.50831,4224286.74173,0,0,0,0,0,0
4,2004,2013,-1.0,ESP30566,273,R Léo Lagrange voie ferrée,50,82,1,6,,,0,20,1,1,0,Arbre de voirie,1,1,0,1,1,,0,0,1913863.3073599997,4223346.04061,1,1,0,0,1,0
2,2004,2014,-1.0,ESP8802,684,Pl J Achard,20,76,1,52,,,0,20,1,1,0,Arbre de voirie,1,1,0,1,1,,0,0,1914460.36775,4224659.4263,0,0,0,0,0,0
5,2004,2015,2017.0,ESP11834,20,Prc Echangeurs Valmy Gallieni,10,0,0,0,,,2,20,1,0,1,Arbre d'espaces ouverts,1,1,0,7,0,,0,0,1915478.97033,4224599.38375,1,1,0,0,1,1
1,2004,2014,2019.0,ESP28061,234,Parc Vallier partie centrale,50,1,1,1,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,4,0,,0,0,1912443.9565299999,4223646.32957,0,0,0,0,0,0
4,2004,2015,2017.0,ESP11025,137,Parc du Clos d'Or Stalingrad,30,10,0,9,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,10,0,,0,0,1914257.57205,4222520.36849,0,0,0,0,0,0
1,2004,2013,2018.0,ESP23511,102,R DrGreffier,20,49,1,7,,,0,11,1,0,0,Arbre de voirie,1,1,0,7,1,,26,2,1912487.0179400002,4223733.54667,0,0,0,0,0,0
4,2004,2014,2014.0,ESP8286,468,Av Berthelot IUFM à voie E-O,20,8,1,7,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,1,,4,0,1914679.70828,4222986.53498,0,0,0,0,0,0
4,2004,2015,-1.0,ESP24686,174,Av J O nord 140 RIA Chapitre,20,34,1,27,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,1,1,,20,0,1915384.42761,4222946.1654199995,0,0,0,0,0,0
4,2004,2013,-1.0,ESP14308,16,Cargo park Est,10,34,1,27,,,0,20,1,0,0,Arbre de voirie,1,1,0,1,0,,20,0,1915022.70593,4222809.2822900005,0,0,0,0,0,0
1,2004,2015,2016.0,ESP24898,747,Pl St Bruno,20,49,1,7,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,4,1,,26,2,1913133.95835,4224412.33247,1,1,1,0,0,0
6,2004,2014,2014.0,ESP16578,36,Alpexpo park,20,7,1,13,,,0,20,1,1,0,Arbre de voirie,1,1,0,7,0,,5,0,1914819.69091,4220554.6842,0,0,0,0,0,0
5,2004,2015,2017.0,ESP26577,53,Cité Léon Jouhaux,0,11,1,10,,,1,11,1,0,1,Arbre d'espaces ouverts,1,1,0,10,0,,6,2,1915540.1829099997,4223262.17349,1,0,0,0,1,1
2,2004,2015,2019.0,ESP10050,401,Bd Esplan Autoroute A 48 ,20,7,1,13,,,0,20,1,1,0,Arbre de voirie,1,1,3,7,1,,5,2,1913380.1538799999,4225347.070719999,0,0,0,0,0,0
4,2007,2013,2014.0,ESP26218,488,Av A Belgique Durand Rivet,40,9,1,8,,,0,11,1,0,0,Arbre de voirie,0,1,0,5,0,,5,0,1914524.76106,4223839.46951,1,0,0,1,0,0
5,2008,2015,2017.0,ESP24173,53,Cité Léon Jouhaux,10,34,1,27,,,0,20,1,1,1,Arbre d'espaces ouverts,0,0,0,9,0,,20,0,1915571.7896900002,4223189.3043599995,0,0,0,0,0,0
6,2004,2015,2018.0,ESP8144,615,R Christophe Turc,10,11,1,10,,,1,20,1,0,1,Arbre d'espaces ouverts,1,1,0,7,0,,6,0,1914235.5907400001,4221623.6933699995,1,0,1,0,1,1
5,2004,2014,2019.0,ESP12902,598,Cité Moyrand E Cartan le mail ,80,1,1,1,170.0,L 123-1.7,0,20,1,1,1,Arbre d'espaces ouverts,1,1,0,4,0,Alignement,0,0,1915583.9881099998,4223591.06623,0,0,0,0,0,0
2,2004,2015,2016.0,ESP19102,27,Ave St Roch ang Prudhomme,20,36,1,13,,,0,20,1,0,0,Arbre de voirie,1,1,2,7,0,,5,0,1915101.8028099998,4224850.59211,0,0,0,0,0,0
1,2014,2014,2019.0,ESP33331,411,Av Martyrs Tram Nord Horowitz,10,47,0,0,,,0,20,1,0,0,Arbre de voirie,0,0,0,0,0,,0,0,1911926.1897900002,4226514.0732,0,0,0,0,0,0
6,2004,2015,2018.0,ESP1594,-1,Butte n 04 zénith,40,8,0,7,,,1,-1,1,0,1,Arbre d'espaces ouverts,1,1,0,0,0,,4,0,1915116.5317900002,4221805.49862,1,0,0,0,1,1
5,2004,2015,2018.0,ESP15170,551,R Manteyer des J O à Ravanat,10,62,1,4,,,1,20,1,0,0,Arbre de voirie,1,0,0,7,1,,27,0,1915594.77653,4222913.95806,1,0,0,0,1,1
1,2004,2014,-1.0,ESP2977,519,R Jules Horowitz,70,56,1,36,,,0,20,1,0,0,Arbre de voirie,1,1,3,1,1,,8,0,1911937.302,4226233.66307,0,0,0,0,0,1
2,2004,2014,2017.0,ESP2694,24,Jard Hoche P Fugain buttes,10,6,0,4,,,0,11,1,0,1,Arbre d'espaces ouverts,1,1,0,4,0,,2,2,1914282.9282,4224093.77259,0,0,0,0,0,1
6,2011,2015,2017.0,ESP12146,330,Allée des Romantiques pair,10,37,1,9,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,1,,0,0,1914207.0555,4222155.7115400005,0,0,0,0,0,0
4,2004,2014,2019.0,ESP20899,64,Parc Soulage,20,65,1,40,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,4,0,,31,0,1915177.3714,4223130.1588,0,0,0,0,0,0
2,2004,2015,2016.0,ESP16439,52,Esplan ceinture Sud-Ouest,80,1,1,1,70.0,L 123-1.7,2,6,1,1,0,Arbre de voirie,1,2,0,2,1,Alignement,0,2,1913399.91163,4225349.782819999,1,1,1,0,1,1
4,2004,2015,2017.0,ESP19803,100,Sq Foch ang Mangin,40,49,0,7,,,1,11,1,1,1,Arbre d'espaces ouverts,1,1,0,7,0,,13,2,1913793.7869,4223626.80955,1,0,1,0,0,1
4,2004,2014,2014.0,ESP6393,468,Av Berthelot IUFM à voie E-O,30,8,1,7,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,1,,4,0,1914669.24344,4223152.71404,0,0,0,0,0,0
5,2004,2013,-1.0,ESP17882,655,Av J d'Arc C Genin  Perreau,50,26,1,7,,,0,11,1,1,0,Arbre de voirie,1,1,0,1,1,,13,0,1915637.6359400002,4223958.69534,1,0,0,0,1,0
6,2004,2015,-1.0,ESP16239,776,R du Trident 12 et 13,10,10,1,9,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,1,1,,0,0,1915047.91937,4222018.18117,0,0,0,0,0,0
2,2004,2015,-1.0,ESP17896,230,Jard des Dauphins sommet ,30,7,0,13,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,2,1,0,,5,0,1913720.7141,4225240.81862,0,0,0,0,0,0
1,2014,2014,2019.0,ESP33388,77,Av Martyrs Résistance Horowitz,10,58,0,25,,,0,20,1,0,0,Arbre de voirie,0,0,0,0,0,,0,0,1912452.0097299998,4226017.26407,0,0,0,0,0,0
3,2004,2015,2016.0,ESP9009,10,Hôtel Lesdiguières,50,7,0,13,,,0,20,1,1,1,Arbre d'espaces ouverts,1,1,1,7,0,,5,0,1913103.16945,4222079.29339,0,0,0,0,0,1
1,2006,2015,2016.0,ESP12430,891,Ec pr Berriat R A Grégoire,10,52,1,24,,,0,20,1,0,2,Arbre d'enceintes fermées,1,1,0,0,0,,14,0,1913163.4498599998,4224527.62204,0,0,0,0,0,0
1,2004,2013,2016.0,ESP17512,520,R A Terray Suède à AGrégoire,30,24,1,21,,,0,11,1,1,0,Arbre de voirie,1,1,0,7,0,,11,0,1913149.757,4224130.21521,1,1,0,1,0,0
2,2004,2015,2016.0,ESP13465,190,Ec mat J Verne 15 R Hoche,70,1,1,1,,,1,11,1,0,2,Arbre d'enceintes fermées,1,1,0,0,0,,0,0,1914258.84646,4224158.92308,1,0,1,0,0,1
3,2004,2013,2018.0,ESP10836,420,Crs Libération Rondeau Ec Libé,10,57,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,0,,0,0,1913041.8909,4221538.8184,0,0,0,0,0,0
5,2004,2015,2016.0,ESP13171,945,Ch la Poterne st Vercors park,30,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,0,,0,0,1915939.0489,4222874.6124,1,0,0,0,1,0
2,2004,2013,2014.0,ESP5488,863,Sq Vallois Montorge Belgrade,30,71,1,45,69.0,ebc,0,11,1,0,0,Arbre de voirie,1,1,0,4,0,Isolé,11,2,1914122.72957,4224908.6706300005,1,0,1,0,1,0
2,2004,2015,-1.0,ESP26630,399,Pl J Moulin partie Sud Est,0,10,1,9,,,1,11,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,0,2,1915134.93296,4224658.74888,1,0,0,0,1,1
5,2004,2015,-1.0,ESP20276,9,Prc Echangeurs Bastion St Roch,40,8,0,7,,,0,20,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,4,0,1915222.1655599999,4224846.2925,0,0,0,0,0,0
5,2004,2015,2020.0,ESP28901,266,Av J O Wash à L Jouhaux sép,30,6,1,4,,,1,11,1,1,1,Arbre d'espaces ouverts,1,1,0,7,1,,2,2,1915874.57097,4223134.11247,1,1,0,0,0,1
6,2004,2015,2018.0,ESP8084,410,R Musset de Reynoard à Pupin,20,32,1,7,,,0,20,1,0,0,Arbre de voirie,1,0,0,7,1,,18,0,1914401.5427,4221914.81066,0,0,0,0,0,1
6,2011,2015,2017.0,ESP25255,179,Allée des Romantiques impair,10,37,1,9,,,0,20,1,0,0,Arbre de voirie,0,0,0,7,1,,0,0,1914211.0368599999,4222229.26452,0,0,0,0,0,0
2,2004,2014,2015.0,ESP11452,254,Parc 2 R Hermin tour Vercors,20,7,1,13,,,3,11,1,1,1,Arbre d'espaces ouverts,1,1,2,4,0,,5,2,1914962.3075299999,4225222.61161,1,1,0,0,1,1
6,2004,2015,2017.0,ESP22162,179,Allée des Romantiques impair,10,37,1,9,,,0,20,1,0,0,Arbre de voirie,1,0,0,7,1,,0,0,1914224.88355,4222007.1368,0,0,0,0,0,0
2,2014,2014,2020.0,ESP33183,225,Jard de Ville,10,35,0,28,,,0,20,1,0,1,Arbre d'espaces ouverts,0,0,0,0,0,,21,0,1914177.9447700002,4225036.1020599995,0,0,0,0,0,0
5,2013,2013,2019.0,ESP31765,545,R Flandrin / Pont Carpin,10,91,0,20,,,0,20,1,0,1,Arbre d'espaces ouverts,0,0,0,0,0,,6,0,1915765.7904599998,4224528.52183,0,0,0,0,0,0
2,2004,2014,2014.0,ESP19045,894,Pl Verdun Tram Beyle Stendhal ,50,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,1,,0,0,1914610.29224,4224545.017519999,0,0,0,0,0,0
3,2004,2015,2016.0,ESP22551,39,Ave Beaumarchais ang A Reynier,30,21,1,19,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,0,,0,0,1912773.59221,4222059.57863,0,0,0,0,0,0
1,2004,2013,-1.0,ESP25746,243,R Ernest Hareux,20,13,1,7,,,0,11,1,0,0,Arbre de voirie,1,1,0,1,0,,7,0,1913151.1829900001,4225821.65839,0,0,0,0,0,0
2,2004,2015,2017.0,ESP26373,138,Cimetière St Roch,20,33,1,26,,,0,20,1,1,2,Arbre d'enceintes fermées,1,1,0,7,0,,19,2,1915327.55993,4225113.55796,1,0,1,0,1,0
4,2004,2013,2014.0,ESP23343,23,Av A Belgique Perrot Cornier,50,9,1,8,,,0,11,1,0,0,Arbre de voirie,1,1,0,5,1,,5,0,1914729.69218,4223836.48931,1,0,0,1,0,1
4,2004,2015,-1.0,ESP28803,137,Parc du Clos d'Or Stalingrad,20,18,0,17,,,0,11,1,0,1,Arbre d'espaces ouverts,1,1,0,1,0,,0,2,1914161.70414,4222497.73769,0,0,0,0,0,0
4,2007,2013,2014.0,ESP7795,488,Av A Belgique Durand Rivet,40,9,1,8,,,0,11,1,0,0,Arbre de voirie,0,1,0,5,1,,5,0,1914586.88229,4223843.36307,1,0,0,1,0,0
2,2004,2015,2017.0,ESP10058,361,Esplan ceinture Nord-Ouest,60,1,1,1,70.0,L 123-1.7,3,1,1,1,0,Arbre de voirie,2,2,0,0,1,Alignement,0,2,1913366.0400900003,4225418.13946,1,1,1,0,1,1
4,2004,2014,2014.0,ESP8357,683,R Gén Mangin 39-41,40,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,11,0,,0,0,1913575.2061400001,4223201.3123699995,0,0,0,0,0,0
4,2004,2013,-1.0,ESP24692,19,R Marquian MIN,40,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,1,1,,0,0,1913560.5568,4222420.36975,0,0,0,0,0,0
5,2004,2015,2019.0,ESP25602,222,Pl P Mistral sépar central,20,1,1,1,,,0,20,1,0,0,Arbre de voirie,1,1,0,7,0,,0,0,1914685.5001,4224185.5586,0,0,0,0,0,0
