ADR_SECTEUR;ANNEEDEPLANTATION;ANNEEREALISATIONDIAGNOSTIC;ANNEETRAVAUXPRECONISESDIAG;CODE;CODE_PARENT;CODE_PARENT_DESC;DIAMETREARBREAUNMETRE;ESPECE;FREQUENTATIONCIBLE;GENRE_BOTA;IDENTIFIANTPLU;INTITULEPROTECTIONPLU;NOTEDIAGNOSTIC;PRIORITEDERENOUVELLEMENT;RAISONDEPLANTATION;REMARQUES;SOUS_CATEGORIE;SOUS_CATEGORIE_DESC;STADEDEDEVELOPPEMENT;STADEDEVELOPPEMENTDIAG;TRAITEMENTCHENILLES;TRAVAUXPRECONISESDIAG;TROTTOIR;TYPEIMPLANTATIONPLU;VARIETE;VIGUEUR
4;2004;2014;2015;ESP22380;ESP1093;Pc Pompidou al du parc face 01;100 à 110 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Cheminé en formation, vérifier la cicatrisation;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2;2004;2015;N/A;ESP15467;ESP1027;Ave St Roch ang Prudhomme;20 à 30 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;Moyenne;N/A;non;N/A;Austriaca;vigoureux
1;2004;2014;2014;ESP15876;ESP1279;Trémie tram ang Berriat;10 à 20 cm;cordata;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
2;2004;2014;N/A;ESP7548;ESP1324;Cité Vignes Huchon à Halage;40 à 50 cm;tulipifera;passages fréquents et arrêts fréquents;Liriodendron;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
5;2004;2013;N/A;ESP11031;ESP719;Impasse Ganganeli;30 à 40 cm;nigra;quelques passages;Pinus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Dépérissant;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;N/A;non;N/A;Austriaca;N/A
6;2004;2014;2014;ESP9470;ESP94;R Esmonin IMT;30 à 40 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
3;2004;2014;N/A;ESP11204;ESP875;R R Salengro pel Hlle Blanche;10 à 20 cm;carica;passages fréquents et arrêts fréquents;Ficus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Cépée;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigueur intermédiaire
3;2004;2013;N/A;ESP11154;ESP872;Pc Ch Elysés Ouest;70 à 80 cm;japonica;passages fréquents et arrêts fréquents;Sophora;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
6;2004;2015;2018;ESP23980;ESP753;Crique sud abords terr de foot;10 à 20 cm;siliquastrum;passages fréquents et arrêts fréquents;Cercis;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2;2004;2014;2017;ESP6888;ESP1313;Pc 3 H St Ferjus Chartr Belled;40 à 50 cm;betulus;passages fréquents et arrêts fréquents;Carpinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
3;2004;2014;2014;ESP21096;ESP1361;R R Salengro talus biblio;30 à 40 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. 'Austriaca';ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;Taille formation et mise au gabarit;non;N/A;Austriaca;vigoureux
3;2009;2013;N/A;ESP28809;ESP872;Pc Ch Elysés Ouest;10 à 20 cm;australis;passages fréquents et arrêts fréquents;Celtis;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre jeune;N/A;N/A;non;N/A;N/A;vigoureux
6;2004;2014;2014;ESP4702;ESP1125;Alpexpo park;20 à 30 cm;nigra;passages fréquents et arrêts fréquents;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. 'Austriaca';ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;Haute;Taille formation et mise au gabarit;non;N/A;Austriaca;vigoureux
3;2005;2015;2020;ESP3266;ESP372;R E Claires Rh Danube Césaire;10 à 20 cm;N/A;passages fréquents et arrêts fréquents;Carpinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;Pyramidalis;vigoureux
5;2004;2015;2017;ESP16628;ESP565;Local CPHT Nord gym Malherbe;20 à 30 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigueur intermédiaire
6;2004;2015;2017;ESP15996;ESP759;R des trois épis 13 à 20;10 à 20 cm;campestris;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigueur intermédiaire
3;2004;2015;2016;ESP29153;ESP50;Ave Beaumarchais ang A Reynier;30 à 40 cm;altissima;passages fréquents et arrêts fréquents;Ailanthus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Le lierre gêne l'observation;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
4;2004;2013;N/A;ESP22341;ESP891;R Louvois;20 à 30 cm;japonica;passages fréquents et arrêts fréquents;Sophora;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
5;2004;2015;2018;ESP24231;ESP55;Av Malherbe Pascal à J Perrot;20 à 30 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
1;2014;2014;2020;ESP33186;ESP39;R des Arts et Métiers;10 à 20 cm;floribunda;passages fréquents ou arrêts;Malus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;non;N/A;N/A;vigoureux
3;2004;2014;2019;ESP7781;ESP1076;Pc Savane le long Rh Danube;30 à 40 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2013;N/A;ESP29949;ESP719;Impasse Ganganeli;0 à 10 cm;sempervirens;quelques passages;Cupressus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;N/A;non;N/A;N/A;vigoureux
3;2004;2013;N/A;ESP26681;ESP872;Pc Ch Elysés Ouest;50 à 60 cm;pseudoacacia;passages fréquents et arrêts fréquents;Robinia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2;2004;2013;N/A;ESP24129;ESP233;Pl Bir Hakeim commerces;10 à 20 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Dominé (concurrence des voisins);ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
3;2004;2013;N/A;ESP24767;ESP872;Pc Ch Elysés Ouest;60 à 70 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
6;2004;2013;2017;ESP4554;ESP764;Prc La Bruyère mail central;50 à 60 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2013;2018;ESP6649;ESP225;Quatre Tours Malherbe;80 à 90 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;non;N/A;N/A;vigoureux
5;2004;2013;2015;ESP29789;ESP134;Av Malherbe pe face écoles;10 à 20 cm;baccata;passages fréquents ou arrêts;Taxus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille cohabitation;non;N/A;N/A;vigoureux
1;2004;2015;2016;ESP27626;ESP490;Ec N Chorier n 21 et 23;10 à 20 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigueur intermédiaire
2;2004;2014;2014;ESP18517;ESP49;Ave Randon stab Saulaie Bizan;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille mise en sécurité;non;N/A;N/A;vigoureux
1;2004;2015;2015;ESP26059;ESP105;Ec prim Vallier R Greffier;50 à 60 cm;saccharinum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;Wierii;vigoureux
4;2004;2014;N/A;ESP20886;ESP1016;Av Berthelot Malifaut G Lussac;20 à 30 cm;saccharinum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;var. Wieri;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;Wierii;vigoureux
2;2004;2015;2016;ESP10040;ESP344;Esplan ceinture Sud-Ouest;80 à 90 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;70;L 123-1.7;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;Têtes de chat - Cavité cimentée au pied - Réduction tous les 2-3 ans;ESP151;Arbre de voirie;Arbre vieillissant;Arbre vieillissant;N/A;Taille mise en sécurité;oui;Alignement;N/A;vieillissement dépérissement
5;2004;2015;N/A;ESP29063;ESP703;Cité Léon Jouhaux;20 à 30 cm;tomentosa;passages fréquents et arrêts fréquents;Paulownia;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2;2004;2015;2015;ESP18648;ESP1033;Parc 1 Michalon centre;80 à 90 cm;pseudoplatanus;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre vieillissant;Arbre vieillissant;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2013;2016;ESP21623;ESP131;Pôle festif R L Jouhaux;10 à 20 cm;americana;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
1;2004;2014;2019;ESP21968;ESP494;Parc Vallier terrain de boules;20 à 30 cm;bombycis;passages fréquents et arrêts fréquents;Morus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Lierre, Lampadaire, tuteur bipode;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;Fruitless;vigoureux
2;2014;2014;2020;ESP32924;ESP32840;Crs Jaurès impair de PHD/ Lorr;10 à 20 cm;platanor;passages fréquents ou arrêts;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;Vallis clausa;vigoureux
3;2004;2015;2020;ESP19980;ESP840;Cité Mistral la prairie;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Essence ne correspondant pas sur le terrain;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
6;2004;2015;2018;ESP1769;ESP919;All des Frênes pel Cascatelles;10 à 20 cm;pseudoacacia;passages fréquents et arrêts fréquents;Robinia;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
6;2014;2014;2020;ESP33608;ESP542;Allée des Deux Mondes pair;10 à 20 cm;ornus;passages fréquents ou arrêts;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
3;2004;2013;2016;ESP6139;ESP1330;Crs Libé Verlaine Bauvert;40 à 50 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Têtes de chat;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille de prolongement;non;N/A;N/A;vigoureux
3;2004;2014;2014;ESP14496;ESP836;R Hilaire de Chardonnet;20 à 30 cm;cordata;passages fréquents et arrêts fréquents;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
3;2004;2013;2012;ESP8383;ESP124;Stade Bachelard;50 à 60 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
4;2004;2014;2014;ESP27171;ESP878;Parc Soulage;50 à 60 cm;robur;passages fréquents et arrêts fréquents;Quercus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2014;2015;ESP29088;ESP927;Allée du Verderet;50 à 60 cm;excelsior;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
3;2015;2015;2020;ESP33757;ESP636;Centre social des Eaux Claires;10 à 20 cm;domestica;passages fréquents ou arrêts;Malus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;Nouveau;N/A;ESP174;Arbre d'espaces ouverts;N/A;Arbre jeune;N/A;Controle;non;N/A;N/A;vigoureux
4;2004;2013;2014;ESP22646;ESP891;R Louvois;30 à 40 cm;japonica;passages fréquents et arrêts fréquents;Sophora;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Une charpentière affaiblie à la base (renflement );ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille mise en sécurité;oui;N/A;N/A;vigoureux
1;2014;2014;2020;ESP32978;ESP1177;C JJaurés Berriat à Dupont;10 à 20 cm;cappadocicum;passages fréquents ou arrêts;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
1;2004;2013;2016;ESP29715;ESP1280;R Charles Berthier;30 à 40 cm;australis;passages fréquents et arrêts fréquents;Celtis;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Racines chignonnées;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Aménagement pieds d'arbres;non;N/A;N/A;vigoureux
