ADR_SECTEUR;ANNEEDEPLANTATION;ANNEEREALISATIONDIAGNOSTIC;ANNEETRAVAUXPRECONISESDIAG;CODE;CODE_PARENT;CODE_PARENT_DESC;DIAMETREARBREAUNMETRE;ESPECE;FREQUENTATIONCIBLE;GENRE_BOTA;IDENTIFIANTPLU;INTITULEPROTECTIONPLU;NOTEDIAGNOSTIC;PRIORITEDERENOUVELLEMENT;RAISONDEPLANTATION;REMARQUES;SOUS_CATEGORIE;SOUS_CATEGORIE_DESC;STADEDEDEVELOPPEMENT;STADEDEVELOPPEMENTDIAG;TRAITEMENTCHENILLES;TRAVAUXPRECONISESDIAG;TROTTOIR;TYPEIMPLANTATIONPLU;VARIETE;VIGUEUR
4;2004;2013;N/A;ESP19356;ESP637;Cargo park Est;10 à 20 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigueur intermédiaire
5;2013;2013;2019;ESP31778;ESP607;Bd Clémenceau J d'arc à Driant;10 à 20 cm;castaneifolia;passages fréquents ou arrêts;Quercus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
1;2004;2014;2019;ESP26616;ESP494;Parc Vallier terrain de boules;20 à 30 cm;bombycis;passages fréquents et arrêts fréquents;Morus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Lierre, Lampadaire, tuteur bipode;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;Fruitless;vigoureux
6;2004;2015;2017;ESP16350;ESP771;Allée des Romantiques impair;10 à 20 cm;utilis;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2;2004;2014;2015;ESP13679;ESP593;Parc 2 R Herminier ch de Ronde;40 à 50 cm;betulus;passages fréquents et arrêts fréquents;Carpinus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
5;2004;2015;2018;ESP8661;ESP474;Prc Ouagadougou Ttoir Mantayer;0 à 10 cm;petraea;passages fréquents ou arrêts;Quercus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;Columnaris;vigoureux
5;2004;2013;2016;ESP1707;ESP909;Cité Teisseire le bassin;60 à 70 cm;abies;passages fréquents et arrêts fréquents;Picea;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Aire de jeux;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille cohabitation;non;N/A;N/A;vigoureux
2;2004;2014;N/A;ESP1919;ESP44;Pl J Achard;10 à 20 cm;soulangiana;passages fréquents et arrêts fréquents;Magnolia;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
6;2004;2015;2016;ESP13033;ESP747;R Esmonin talus Alibert ;30 à 40 cm;alba;passages fréquents et arrêts fréquents;Populus;N/A;N/A;Arbre à abattre dans les 5 ans;de 1 à 5 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Controle;oui;N/A;N/A;vigueur intermédiaire
5;2004;2015;2017;ESP11055;ESP720;Prc Echangeurs Valmy Gallieni;90 à 100 cm;acerifolia;passages fréquents ou arrêts;Platanus;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre vieillissant;Arbre vieillissant;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
5;2004;2014;2014;ESP31146;ESP1349;Av Bossuet Helbronner Racine;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Têtes de chat;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigueur intermédiaire
4;2004;2014;2014;ESP21418;ESP417;Prc Pompidou centre sportif;60 à 70 cm;nigra;passages fréquents et arrêts fréquents;Populus;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;La blessure à surveiller est derrière le lierre, suspicion d'un début de cavité. Lierre en quantité, nombreux rejets;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre vieillissant;N/A;Taille de bois mort;non;N/A;Italica;vigueur intermédiaire
6;2004;2015;2018;ESP22219;ESP706;R Maquis de l'Oisans impair;10 à 20 cm;cappadocicum;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
3;2004;2014;2014;ESP14475;ESP599;R Vaujany Dagalier au terminus;30 à 40 cm;cordata;passages fréquents et arrêts fréquents;Alnus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2;2004;2014;N/A;ESP8931;ESP362;Ave St Roch terrain stabilisé ;10 à 20 cm;serrulata;passages fréquents et arrêts fréquents;Prunus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
1;2004;2014;2014;ESP29842;ESP265;Qu de la Graille;70 à 80 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Têtes de chat;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigueur intermédiaire
4;2013;2014;2015;ESP7882;ESP1383;R A Matussière ang Lesage;20 à 30 cm;campestris;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
6;2013;2013;2019;ESP32595;ESP432;Prc La Bruyère NORD mail centr;10 à 20 cm;ilex;passages fréquents ou arrêts;Quercus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre jeune;Arbre jeune;N/A;Controle;oui;N/A;N/A;vigoureux
6;2008;2013;2016;ESP25176;ESP763;Av Reynoard Lbruyère a Village;20 à 30 cm;tomentosa;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
3;2004;2014;N/A;ESP20392;ESP688;R A France CODASE ang Camine;20 à 30 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2;2009;2014;2016;ESP27649;ESP338;Sq DrLéon Martin;20 à 30 cm;platyphyllos;passages fréquents et arrêts fréquents;Tilia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Travaux récents, Dominé;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
2;2004;2015;2018;ESP19173;ESP947;Chem de Ronde club bouliste;40 à 50 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2;2004;2015;2017;ESP24287;ESP304;Pl J Moulin partie Nord Ouest;10 à 20 cm;cordata;passages fréquents et arrêts fréquents;Alnus;N/A;N/A;Arbre à abattre dans les 10 ans;plus de 20 ans;N/A;Essence ne correspondant pas sur le terrain;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vieillissement dépérissement
6;2004;2013;2016;ESP11691;ESP748;R Esmonin Blum au rond point;20 à 30 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
1;2014;2014;2019;ESP33436;ESP33630;Av Martyrs Tram Sud Horowitz;10 à 20 cm;cerris;passages fréquents ou arrêts;Quercus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;Controle;non;N/A;N/A;vigoureux
1;2015;2015;2020;ESP33753;ESP954;Parc Vallier partie centrale;10 à 20 cm;stenoptea;passages fréquents ou arrêts;Pterocarya;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;Nouveau;N/A;ESP174;Arbre d'espaces ouverts;N/A;Arbre jeune;N/A;Controle;non;N/A;N/A;vigoureux
5;2004;2014;2014;ESP5379;ESP1130;Ec mat G Philippe R N Vallin;40 à 50 cm;bignonoides;passages fréquents et arrêts fréquents;Catalpa;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
2;2004;2013;2015;ESP19103;ESP1029;Pl du Grésivaudan;70 à 80 cm;excelsior;passages fréquents et arrêts fréquents;Fraxinus;N/A;N/A;Arbre d'avenir incertain;de 6 à 10 ans;N/A;Dégâts à la chaussée/au trottoir;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Aménagement pieds d'arbres;non;N/A;N/A;vigueur intermédiaire
3;2004;2013;N/A;ESP29322;ESP983;Crs Libération Ronsard Reynier;10 à 20 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
3;2004;2015;N/A;ESP13014;ESP182;Passag B Montferrat Schweitzer;20 à 30 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
4;2004;2013;N/A;ESP22647;ESP1022;R Marquian MIN;40 à 50 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;oui;N/A;N/A;vigoureux
2;2004;2014;2014;ESP22317;ESP355;H de police bd Mal Leclerq;20 à 30 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Gêné par le mur;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2013;2018;ESP26013;ESP1421;Pl  L Jouvet mail jx de boule;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille d'éclaircie;non;N/A;N/A;vigoureux
5;2004;2013;N/A;ESP22784;ESP722;R Jouhaux Teisseire à Repos;50 à 60 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
3;2011;2013;N/A;ESP24858;ESP51;Cité Mistral R A France 35;10 à 20 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre jeune;Arbre jeune;N/A;N/A;oui;N/A;N/A;vigoureux
6;2004;2013;2018;ESP11685;ESP31690;Parc La bruyère zone boisée;40 à 50 cm;sylvatica;passages fréquents ou arrêts;Fagus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP187;Bois semi naturel;Arbre vieillissant;Arbre vieillissant;N/A;Taille d'éclaircie;non;N/A;N/A;vigoureux
6;2004;2015;2017;ESP21298;ESP440;Mail des Tilleuls;30 à 40 cm;tomentosa;passages fréquents ou arrêts;Tilia;N/A;N/A;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre vieillissant;Arbre vieillissant;N/A;Controle;non;N/A;N/A;vigoureux
6;2004;2015;2017;ESP27423;ESP915;Allée des Romantiques pair;0 à 10 cm;utilis;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;tuteur;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
3;2004;2013;N/A;ESP13000;ESP124;Stade Bachelard;40 à 50 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
4;2004;2015;2020;ESP14924;ESP209;Bd Joffre Rivet à Pasteur;10 à 20 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
6;2004;2013;2016;ESP26745;ESP748;R Esmonin Blum au rond point;20 à 30 cm;acerifolia;passages fréquents et arrêts fréquents;Platanus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
2;2004;2015;2020;ESP18972;ESP278;Cimetière du Grand Sablon;20 à 30 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
4;2004;2014;N/A;ESP23377;ESP502;R Kennedy Jacquard  Pompidou;10 à 20 cm;siliquastrum;passages fréquents et arrêts fréquents;Cercis;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigueur intermédiaire
1;2004;2015;N/A;ESP6707;ESP1140;R de la Frise;20 à 30 cm;grandiflora;passages fréquents et arrêts fréquents;Magnolia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2;2004;2014;2015;ESP11454;ESP593;Parc 2 R Herminier ch de Ronde;60 à 70 cm;lawsoniana;passages fréquents et arrêts fréquents;Chamaecyparis;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;Revêtement synthétique, Aire de jeux, Lierre, Déplacer la grille qui se fait enkyster par le tronc.;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
2;2004;2015;2018;ESP28436;ESP1157;Bd Foch pair Gambetta Marceau;10 à 20 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
5;2004;2014;2015;ESP4245;ESP120;Ec mat Colonel Driant;40 à 50 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;Controle;non;N/A;N/A;vigoureux
2;2004;2013;N/A;ESP27652;ESP801;A Lorraine pair Gambet Jaures;40 à 50 cm;hippocastanum;passages fréquents et arrêts fréquents;Aesculus;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
3;2004;2014;N/A;ESP8269;ESP875;R R Salengro pel Hlle Blanche;0 à 10 cm;ceracifera;passages fréquents et arrêts fréquents;Prunus;N/A;N/A;Arbre à abattre dans les 10 ans;de 6 à 10 ans;N/A;var. 'Atropurpurea';ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;Atropurpurea;vieillissement dépérissement
5;2004;2014;2019;ESP27805;ESP619;Cité Moyrand R E Cartan;20 à 30 cm;verrucosa;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir normal;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
6;2004;2013;2014;ESP12085;ESP1111;Av Reynoard sép Musset à URSAF;30 à 40 cm;triacanthos;passages fréquents et arrêts fréquents;Gleditsia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille de bois mort;non;N/A;N/A;vigoureux
5;2004;2015;N/A;ESP27015;ESP1175;R Manteyer n 37 à 41;10 à 20 cm;serrulata;passages fréquents et arrêts fréquents;Prunus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP065;Arbre d'enceintes fermées;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
2;2004;2015;N/A;ESP28124;ESP1201;Jard des Dauphins camp indien ;40 à 50 cm;N/A;passages fréquents ou arrêts;Sterculia;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;N/A;non;N/A;N/A;vigoureux
6;2004;2015;2018;ESP22435;ESP557;Pl Géants ext crêche Poucets;30 à 40 cm;pseudoplatanus;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigueur intermédiaire
6;2009;2015;2018;ESP22153;ESP448;Allée de la Sylphide impair;10 à 20 cm;platanoides;passages fréquents et arrêts fréquents;Acer;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
6;2004;2015;2017;ESP17561;ESP775;R Lorenzaccio pair;0 à 10 cm;calleryana;passages fréquents et arrêts fréquents;Pyrus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Fourche basse - Tuteur;ESP151;Arbre de voirie;Arbre adulte;Arbre jeune;N/A;Taille formation et mise au gabarit;oui;N/A;Chanticleer;vigoureux
1;2004;2014;2014;ESP15851;ESP8;Park l durée r E Gueymard;20 à 30 cm;verrucosa;passages fréquents et arrêts fréquents;Betula;N/A;N/A;Arbre d'avenir incertain;de 11 à 20 ans;N/A;Tortueux, blessure au pied avef pourriture côté tension;ESP151;Arbre de voirie;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;oui;N/A;N/A;vigoureux
5;2004;2015;2017;ESP12142;ESP914;Sq Marcellin Berthelot;30 à 40 cm;betulus;passages fréquents ou arrêts;Carpinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;0;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille cohabitation;non;N/A;N/A;vigoureux
6;2004;2013;2016;ESP7377;ESP536;R Pascal 17 à 31;20 à 30 cm;styraciflua;passages fréquents et arrêts fréquents;Liquidambar;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;N/A;Taille formation et mise au gabarit;non;N/A;N/A;vigoureux
6;2005;2015;N/A;ESP22878;ESP1263;Pas entre Stalingrad et Vigny;10 à 20 cm;paniculata;passages fréquents et arrêts fréquents;Koelreuteria;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;N/A;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre jeune;N/A;N/A;non;N/A;N/A;vigoureux
5;2004;2013;2016;ESP26089;ESP772;Garage central Malherbe Est;30 à 40 cm;N/A;passages fréquents ou arrêts;Pinus;N/A;N/A;Arbre d'avenir normal;plus de 20 ans;N/A;Surveiller le desséchement des aiguilles;ESP174;Arbre d'espaces ouverts;Arbre adulte;Arbre adulte;Haute;Taille de bois mort;non;N/A;N/A;vigueur intermédiaire
